2024-04-25 16:07:15,520 - Episode: 237/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-25 16:07:21,095 - Episode: 238/1000, Total Reward: -5.7, Accuracy: 0.00
2024-04-25 16:07:26,421 - Episode: 239/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-25 16:07:31,909 - Episode: 240/1000, Total Reward: -6.7, Accuracy: 0.00
2024-04-25 16:07:37,548 - Episode: 241/1000, Total Reward: -6.1, Accuracy: 0.00
2024-04-25 16:07:43,212 - Episode: 242/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-25 16:07:48,878 - Episode: 243/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-25 16:07:54,555 - Episode: 244/1000, Total Reward: -3.6000000000000005, Accuracy: 0.00
2024-04-25 16:08:00,205 - Episode: 245/1000, Total Reward: -3.6000000000000005, Accuracy: 0.00
2024-04-25 16:08:06,060 - Episode: 246/1000, Total Reward: -1.299999999999999, Accuracy: 0.00
2024-04-25 16:08:11,868 - Episode: 247/1000, Total Reward: -8.881784197001252e-16, Accuracy: 0.00
2024-04-25 16:08:17,508 - Episode: 248/1000, Total Reward: -1.4999999999999991, Accuracy: 0.00
2024-04-25 16:08:23,153 - Episode: 249/1000, Total Reward: -0.5999999999999988, Accuracy: 0.00
2024-04-25 16:08:28,837 - Episode: 250/1000, Total Reward: -1.4999999999999991, Accuracy: 0.00
2024-04-25 16:08:34,563 - Episode: 251/1000, Total Reward: -5.3, Accuracy: 0.00
2024-04-25 16:08:40,079 - Episode: 252/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-25 16:08:45,770 - Episode: 253/1000, Total Reward: -5.7, Accuracy: 0.00
2024-04-25 16:08:51,539 - Episode: 254/1000, Total Reward: -4.9, Accuracy: 0.00
2024-04-25 16:08:57,140 - Episode: 255/1000, Total Reward: -5.5, Accuracy: 0.00
2024-04-25 16:09:02,966 - Episode: 256/1000, Total Reward: -5.1, Accuracy: 0.00
2024-04-25 16:09:08,656 - Episode: 257/1000, Total Reward: -4.7, Accuracy: 0.00
2024-04-25 16:09:14,544 - Episode: 258/1000, Total Reward: -4.5, Accuracy: 0.00
